DIASEMANA,DESAYUNO,COLACION,COMIDA,COLACION 2,CENA
LUNES,"DESAYUNO
4 claras con jamón, ½ aguacate","COLACIÓN
3 rollitos de jamón con ¼ de aguacate
 
2 salchichas de pavo
 
 ","COMIDA
Salmón asado, consomè sin verduras, ¼ de aguacate","COLACIÓN
Chicharron
 ","CENA
2 a 3 cucharadas de mayonesa light con pollo deshebrado"
MARTES,"Licuado de ½  manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"," 
2 guayabas, 1/3 de medida de proteína
 
40 g de cacahuates NO japoneses
 
 
 "," 
Pescado asado (2 pz), sopa de verduras"," 
Igual que la primera media mañana
 
 "," 
Licuado igual al desayuno"
MIERCOLES,"Licuado de 1  taza de moras con 4 cucharadas de chia, ½   medida de proteína, 4 almendras y agua"," 
1 taza de melón o fresas, 1 rebanada de panela, 4 almendras
 
Pepino
 
 ","Sopa de verduras, fajitas de pollo con verduras"," 
Pepino , 2 rollitos de jamón, 4 almendras
 
 ","Ensalada o verduras asadas con pollo, aceite de oliva y vinagre de manzana"
JUEVES,"2 quesadillas de panela con tortilla de nopal, jitomate"," 
1/3 de medida de proteina, ½ manzana verde, 4 almendras
 
 ","Guisado de res con verduras, sopa de verduras"," 
½ manzana verde, 1 rebanada de panela, 4 almendras
 ","Sopa de verduras con pollo deshebrado, ¼ de aguacate"
VIERNES,"Licuado de ½  manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"," 
2 guayabas, 1/3 de medida de proteína
 
40 g de cacahuates NO japoneses
 
 
 "," 
Pescado asado (2 pz), sopa de verduras"," 
Igual que la primera media mañana
 
 "," 
Licuado igual al desayuno"
SABADO,"Omelette de 1 huevo + 2 claras con requesón o panela, ¼ de aguacate","3 rollitos de jamòn, ¼ de aguacate
 
 ",200 a 300 g de corte de carne con chimichurri SIN limón," 
Gelatina light",¼ de aguacate con 1 lata chica de atun y 1 cucharada de mayonesa light
DOMINGO,2 huevos + 2 claras a la mexicana,"Igual al miercoles
 ","Fajitas de res o pollo con verduras, guacamole"," 
Gelatina light","Licuado de ½ manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua
 "
LUNES,"DESAYUNO
Licuado de ½  manzana verde con 3 a 4 tallos de apio con 3 cucharadas de chia, 1/3 de medida de proteína, 4 almendras y agua","MEDIA MAÑANA
3 rollitos de jamón con panela, 2 guayabas
 
 
Pepino
 ","COMIDA
Ensalada grande o verduras asadas con pollo o cangrejo o pescado sin aderezo","MEDIA TARDE
3 rollitos de jamón con panela","CENA
Licuado igual al desayuno"
MARTES,"4 claras con tocino de pavo o salchicha, ¼ de aguacate"," 
3 rollitos de jamon, ¼ de aguacate
 
 
 
3 rollitos de jamon con ¼ de aguacate
 
 "," 
Pescado frito o al mojo de ajo, consomé sin verduras, ¼ de aguacate"," 
1 a 2 salchichas de pavo"," 
Pollo asado o carne asada, ¼ de aguacate"
MIERCOLES,"DESAYUNO
Licuado de ½  manzana verde con 3 a 4 tallos de apio con 3 cucharadas de chia, 1/3 de medida de proteína, 4 almendras y agua","MEDIA MAÑANA
3 rollitos de jamón con panela, 2 guayabas
 
 
Pepino
 ","COMIDA
Ensalada grande o verduras asadas con pollo o cangrejo o pescado sin aderezo","MEDIA TARDE
3 rollitos de jamón con panela","CENA
Licuado igual al desayuno"
