"","DIASEMANA","DESAYUNO","COLACION","COMIDA","COLACION.2","CENA"
"1","lunes","4 claras con jamón, ½ aguacate","colación3 rollitos de jamón con ¼ de aguacate 2 salchichas de pavo  ","salmón asado, consomè sin verduras, ¼ de aguacate","colaciónchicharron ","2 a 3 cucharadas de mayonesa light con pollo deshebrado"
"2","martes","licuado de ½  manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"," 2 guayabas, 1/3 de medida de proteína 40 g de cacahuates no japoneses   "," pescado asado (2 pz), sopa de verduras"," 2 guayabas, 1/3 de medida de proteína 40 g de cacahuates no japoneses   ","licuado de ½  manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"
"3","miercoles","licuado de 1  taza de moras con 4 cucharadas de chia, ½   medida de proteína, 4 almendras y agua"," 1 taza de melón o fresas, 1 rebanada de panela, 4 almendras pepino  ","sopa de verduras, fajitas de pollo con verduras"," pepino , 2 rollitos de jamón, 4 almendras  ","ensalada o verduras asadas con pollo, aceite de oliva y vinagre de manzana"
"4","jueves","2 quesadillas de panela con tortilla de nopal, jitomate"," 1/3 de medida de proteina, ½ manzana verde, 4 almendras  ","guisado de res con verduras, sopa de verduras"," ½ manzana verde, 1 rebanada de panela, 4 almendras ","sopa de verduras con pollo deshebrado, ¼ de aguacate"
"5","viernes","licuado de ½  manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"," 2 guayabas, 1/3 de medida de proteína 40 g de cacahuates no japoneses   "," pescado asado (2 pz), sopa de verduras"," 2 guayabas, 1/3 de medida de proteína 40 g de cacahuates no japoneses   ","licuado de ½  manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua"
"6","sabado","omelette de 1 huevo + 2 claras con requesón o panela, ¼ de aguacate","3 rollitos de jamòn, ¼ de aguacate  ","200 a 300 g de corte de carne con chimichurri sin limón"," gelatina light","¼ de aguacate con 1 lata chica de atun y 1 cucharada de mayonesa light"
"7","domingo","2 huevos + 2 claras a la mexicana"," 1 taza de melón o fresas, 1 rebanada de panela, 4 almendras pepino  ","fajitas de res o pollo con verduras, guacamole"," gelatina light","licuado de ½ manzana verde con 4 tallos de apio, 1/3 de medida de proteína, 4 almendras y agua "
"8","lunes","licuado de ½  manzana verde con 3 a 4 tallos de apio con 3 cucharadas de chia, 1/3 de medida de proteína, 4 almendras y agua","3 rollitos de jamón con panela, 2 guayabas  pepino ","ensalada grande o verduras asadas con pollo o cangrejo o pescado sin aderezo","3 rollitos de jamón con panela","licuado de ½  manzana verde con 3 a 4 tallos de apio con 3 cucharadas de chia, 1/3 de medida de proteína, 4 almendras y agua"
"9","martes","4 claras con tocino de pavo o salchicha, ¼ de aguacate"," 3 rollitos de jamon, ¼ de aguacate   3 rollitos de jamon con ¼ de aguacate  "," pescado frito o al mojo de ajo, consomé sin verduras, ¼ de aguacate"," 1 a 2 salchichas de pavo"," pollo asado o carne asada, ¼ de aguacate"
"10","miercoles","licuado de ½  manzana verde con 3 a 4 tallos de apio con 3 cucharadas de chia, 1/3 de medida de proteína, 4 almendras y agua","3 rollitos de jamón con panela, 2 guayabas  pepino ","ensalada grande o verduras asadas con pollo o cangrejo o pescado sin aderezo","3 rollitos de jamón con panela","licuado de ½  manzana verde con 3 a 4 tallos de apio con 3 cucharadas de chia, 1/3 de medida de proteína, 4 almendras y agua"
